"dt","Цена на арматуру"
"2015-01-05 00:00:00","32900"
"2015-01-12 00:00:00","32500"
"2015-01-19 00:00:00","32000"
"2015-01-26 00:00:00","30700"
"2015-02-02 00:00:00","30300"
"2015-02-09 00:00:00","30300"
"2015-02-16 00:00:00","30100"
"2015-02-23 00:00:00","29400"
"2015-03-02 00:00:00","29200"
"2015-03-09 00:00:00","29000"
"2015-03-16 00:00:00","28700"
"2015-03-23 00:00:00","27800"
"2015-03-30 00:00:00","27200"
"2015-04-06 00:00:00","26600"
"2015-04-13 00:00:00","25700"
"2015-04-20 00:00:00","24800"
"2015-04-27 00:00:00","24700"
"2015-05-04 00:00:00","24300"
"2015-05-11 00:00:00","23900"
"2015-05-18 00:00:00","24000"
"2015-05-25 00:00:00","23700"
"2015-06-01 00:00:00","23500"
"2015-06-08 00:00:00","23800"
"2015-06-15 00:00:00","24400"
"2015-06-22 00:00:00","25000"
"2015-06-29 00:00:00","25300"
"2015-07-06 00:00:00","25500"
"2015-07-13 00:00:00","25500"
"2015-07-20 00:00:00","25400"
"2015-07-27 00:00:00","25200"
"2015-08-03 00:00:00","25000"
"2015-08-10 00:00:00","24700"
"2015-08-17 00:00:00","24400"
"2015-08-24 00:00:00","24100"
"2015-08-31 00:00:00","24100"
"2015-09-07 00:00:00","23900"
"2015-09-14 00:00:00","24200"
"2015-09-21 00:00:00","24200"
"2015-09-28 00:00:00","24000"
"2015-10-05 00:00:00","24000"
"2015-10-12 00:00:00","23800"
"2015-10-19 00:00:00","23800"
"2015-10-26 00:00:00","24200"
"2015-11-02 00:00:00","24500"
"2015-11-09 00:00:00","24500"
"2015-11-16 00:00:00","23950"
"2015-11-23 00:00:00","23750"
"2015-11-30 00:00:00","23100"
"2015-12-07 00:00:00","22800"
"2015-12-14 00:00:00","22000"
"2015-12-21 00:00:00","21700"
"2015-12-28 00:00:00","21300"
"2016-01-04 00:00:00","21300"
"2016-01-11 00:00:00","21300"
"2016-01-18 00:00:00","21200"
"2016-01-25 00:00:00","21000"
"2016-02-01 00:00:00","21000"
"2016-02-08 00:00:00","21000"
"2016-02-15 00:00:00","21200"
"2016-02-22 00:00:00","21800"
"2016-02-29 00:00:00","22450"
"2016-03-07 00:00:00","23300"
"2016-03-14 00:00:00","23800"
"2016-03-21 00:00:00","25500"
"2016-03-28 00:00:00","26700"
"2016-04-04 00:00:00","29900"
"2016-04-11 00:00:00","29950"
"2016-04-18 00:00:00","31500"
"2016-04-25 00:00:00","31900"
"2016-05-02 00:00:00","40300"
"2016-05-09 00:00:00","43500"
"2016-05-16 00:00:00","43350"
"2016-05-23 00:00:00","42950"
"2016-05-30 00:00:00","42000"
"2016-06-06 00:00:00","38300"
"2016-06-13 00:00:00","37500"
"2016-06-20 00:00:00","36800"
"2016-06-27 00:00:00","35400"
"2016-07-04 00:00:00","34400"
"2016-07-11 00:00:00","33400"
"2016-07-18 00:00:00","32500"
"2016-07-25 00:00:00","32000"
"2016-08-01 00:00:00","31000"
"2016-08-08 00:00:00","30200"
"2016-08-15 00:00:00","29200"
"2016-08-22 00:00:00","28850"
"2016-08-29 00:00:00","28700"
"2016-09-05 00:00:00","28500"
"2016-09-12 00:00:00","30000"
"2016-09-19 00:00:00","32000"
"2016-09-26 00:00:00","32500"
"2016-10-03 00:00:00","33300"
"2016-10-10 00:00:00","34300"
"2016-10-17 00:00:00","33700"
"2016-10-24 00:00:00","32200"
"2016-10-31 00:00:00","30400"
"2016-11-07 00:00:00","30200"
"2016-11-14 00:00:00","29800"
"2016-11-21 00:00:00","33500"
"2016-11-28 00:00:00","33500"
"2016-12-05 00:00:00","33500"
"2016-12-12 00:00:00","33500"
"2016-12-19 00:00:00","33000"
"2016-12-26 00:00:00","32500"
"2017-01-02 00:00:00","33750"
"2017-01-09 00:00:00","33750"
"2017-01-16 00:00:00","33750"
"2017-01-23 00:00:00","33750"
"2017-01-30 00:00:00","33000"
"2017-02-06 00:00:00","32600"
"2017-02-13 00:00:00","32000"
"2017-02-20 00:00:00","31300"
"2017-02-27 00:00:00","30300"
"2017-03-06 00:00:00","30500"
"2017-03-13 00:00:00","30700"
"2017-03-20 00:00:00","30600"
"2017-03-27 00:00:00","30400"
"2017-04-03 00:00:00","29800"
"2017-04-10 00:00:00","29500"
"2017-04-17 00:00:00","28200"
"2017-04-24 00:00:00","27500"
"2017-05-01 00:00:00","26500"
"2017-05-08 00:00:00","26300"
"2017-05-15 00:00:00","26300"
"2017-05-22 00:00:00","26200"
"2017-05-29 00:00:00","26150"
"2017-06-05 00:00:00","26150"
"2017-06-12 00:00:00","26150"
"2017-06-19 00:00:00","26350"
"2017-06-26 00:00:00","26550"
"2017-07-03 00:00:00","26650"
"2017-07-10 00:00:00","28000"
"2017-07-17 00:00:00","28800"
"2017-07-24 00:00:00","29400"
"2017-07-31 00:00:00","29400"
"2017-08-07 00:00:00","30900"
"2017-08-14 00:00:00","33900"
"2017-08-21 00:00:00","35900"
"2017-08-28 00:00:00","36800"
"2017-09-04 00:00:00","38600"
"2017-09-11 00:00:00","39600"
"2017-09-18 00:00:00","38800"
"2017-09-25 00:00:00","38800"
"2017-10-02 00:00:00","37500"
"2017-10-09 00:00:00","37000"
"2017-10-16 00:00:00","35800"
"2017-10-23 00:00:00","33800"
"2017-10-30 00:00:00","31500"
"2017-11-06 00:00:00","30000"
"2017-11-13 00:00:00","32500"
"2017-11-20 00:00:00","32500"
"2017-11-27 00:00:00","32000"
"2017-12-04 00:00:00","31500"
"2017-12-11 00:00:00","31700"
"2017-12-18 00:00:00","31800"
"2017-12-25 00:00:00","34600"
"2018-01-01 00:00:00","35600"
"2018-01-08 00:00:00","35600"
"2018-01-15 00:00:00","35600"
"2018-01-22 00:00:00","35300"
"2018-01-29 00:00:00","34500"
"2018-02-05 00:00:00","33700"
"2018-02-12 00:00:00","34000"
"2018-02-19 00:00:00","33900"
"2018-02-26 00:00:00","32700"
"2018-03-05 00:00:00","32900"
"2018-03-12 00:00:00","33300"
"2018-03-19 00:00:00","33600"
"2018-03-26 00:00:00","34800"
"2018-04-02 00:00:00","36100"
"2018-04-09 00:00:00","36100"
"2018-04-16 00:00:00","35900"
"2018-04-23 00:00:00","35900"
"2018-04-30 00:00:00","36400"
"2018-05-07 00:00:00","37900"
"2018-05-14 00:00:00","37700"
"2018-05-21 00:00:00","37900"
"2018-05-28 00:00:00","37900"
"2018-06-04 00:00:00","37600"
"2018-06-11 00:00:00","37400"
"2018-06-18 00:00:00","37400"
"2018-06-25 00:00:00","37100"
"2018-07-02 00:00:00","37100"
"2018-07-09 00:00:00","37200"
"2018-07-16 00:00:00","37800"
"2018-07-23 00:00:00","37500"
"2018-07-30 00:00:00","37500"
"2018-08-06 00:00:00","39400"
"2018-08-13 00:00:00","39650"
"2018-08-20 00:00:00","40750"
"2018-08-27 00:00:00","43100"
"2018-09-03 00:00:00","48700"
"2018-09-10 00:00:00","48850"
"2018-09-17 00:00:00","48350"
"2018-09-24 00:00:00","44600"
"2018-10-01 00:00:00","42600"
"2018-10-08 00:00:00","41500"
"2018-10-15 00:00:00","40800"
"2018-10-22 00:00:00","39700"
"2018-10-29 00:00:00","39500"
"2018-11-05 00:00:00","38800"
"2018-11-12 00:00:00","38300"
"2018-11-19 00:00:00","38000"
"2018-11-26 00:00:00","37600"
"2018-12-03 00:00:00","37600"
"2018-12-10 00:00:00","37300"
"2018-12-17 00:00:00","37000"
"2018-12-24 00:00:00","36700"
"2018-12-31 00:00:00","36000"
"2019-01-07 00:00:00","36000"
"2019-01-14 00:00:00","35700"
"2019-01-21 00:00:00","35300"
"2019-01-28 00:00:00","34000"
"2019-02-04 00:00:00","33800"
"2019-02-11 00:00:00","34550"
"2019-02-18 00:00:00","36000"
"2019-02-25 00:00:00","37700"
"2019-03-04 00:00:00","40200"
"2019-03-11 00:00:00","40200"
"2019-03-18 00:00:00","39900"
"2019-03-25 00:00:00","39400"
"2019-04-01 00:00:00","39300"
"2019-04-08 00:00:00","39500"
"2019-04-15 00:00:00","39500"
"2019-04-22 00:00:00","39300"
"2019-04-29 00:00:00","39300"
"2019-05-06 00:00:00","39300"
"2019-05-13 00:00:00","40300"
"2019-05-20 00:00:00","40000"
"2019-05-27 00:00:00","40200"
