"dt","Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_3А, РФ CPT авто Центральный ФО, руб./т, без НДС","Лом_3А, РФ CPT авто Уральский ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_3А, РФ CPT авто Южный ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_Б26 легированный (Ni 9,3%), РФ CPT, руб./т, без НДС","ГБЖ_Россия, FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","Чугун_FOB Бразилия Юг, $/т","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Чугун_FOB Россия Дальневосточные порты, $/т","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","Лом_3А, РФ FCA ж/д Кемеровская обл, руб./т, без НДС","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Чугун_CFR Западная Европа, $/т","Лом_3А, РФ FCA ж/д Челябинская обл, руб./т, без НДС","Лом_3А, РФ FCA ж/д ХМАО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Чугун_CFR Китай, $/т","Лом_3А, РФ FCA ж/д Самарская обл, руб./т, без НДС","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д Нижегородская обл, руб./т, без НДС","Чугун_CFR NOLA США, $/т","Лом_3А, РФ FCA ж/д Новосибирская обл, руб./т, без НДС","Лом_3А, РФ FCA ж/д Свердловская обл, руб./т, без НДС","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т"
"2015-02-09 00:00:00","3850","228","12344","10009","12728","62","","3700","70","","","221","221","338","","248","3300","","","11573","","51","4500","","6900","11870","4300","297","","1325","2275","21250","106","3450","","11598","4700","","","","246","","","3890","3350","","","","","","","","","","","","",""
"2015-02-16 00:00:00","3850","206","12271","10432","12852","63","","3700","70","","","221","213","308","","248","3300","","","11746","","51","4500","","6900","12088","4300","278","","1325","2275","21250","106","3450","","11794","4700","","","","243","","","3890","3350","","","","","","","","","","","","",""
"2015-02-23 00:00:00","3850","207","12645","11981","13034","64","","3700","72","","","215","208","295","","248","3300","","","11930","","53","4500","","6900","12503","4300","265","","1325","2275","21250","103","3450","","12047","4700","","","","241","","","3890","3350","","","","","","","","","","","","",""
"2015-03-02 00:00:00","3850","214","12696","11912","12910","63","","3700","72","","","224","215","295","","248","3300","","","12100","","53","4500","","6900","12439","4300","265","","1325","2275","21250","103","3450","","12253","4700","","","","249","","","3890","3350","","","","","","3540","2097","1261","23","","","",""
"2015-03-09 00:00:00","4400","232","12916","12061","12964","61","","4050","70","","","229","221","275","","248","3750","","","11774","","51","4700","","8750","12020","4100","265","","1345","2425","15250","103","3500","","12183","4700","","","","257","","","4164","3525","","","","","","3540","2097","1261","23","","","",""
"2015-03-16 00:00:00","4400","229","12883","11893","12812","58","","4050","67","","","231","223","265","","248","3750","","","11733","","48","4700","","8750","12093","4100","263","","1345","2425","15250","102","3500","","12140","4700","","","","256","","","4164","3525","","","","","","3540","2097","1261","23","","","",""
"2015-03-23 00:00:00","4400","230","12753","11945","12694","56","","4050","65","","","230","220","263","","253","3750","","","11540","","46","4700","","8750","11763","4100","263","","1345","2425","15250","101","3500","","12139","4700","","","","254","","","4164","3525","","","","","","3540","2097","1261","23","","","",""
"2015-03-30 00:00:00","4400","231","12521","11853","12569","55","","4050","63.5","","","233","221","269","","254","3750","","","11579","","44.5","4700","","8750","11719","4100","261","","1345","2425","15250","98","3500","","12113","4700","","","","256","","","4164","3525","","","","","","3601","2322","1267","23","","","",""
"2015-04-06 00:00:00","4400","235","12395","11785","12421","50","","4050","58","","","236","229","265","","258","3750","","","11378","","39","4700","","8750","11250","4100","264","","1250","2175","13250","95","3200","","12369","4700","","","","262","","","4941","3525","","","","","","3601","2322","1267","23","","","",""
"2015-04-13 00:00:00","5350","238","12220","11327","12146","48","","5200","57.5","","","236","229","265","","258","4400","","","11056","","38.5","5700","","10350","11327","4800","260","","1250","2175","13250","92","3200","","12324","5550","","","","263","","","4941","3850","","","","","","3601","2322","1267","23","","","",""
"2015-04-20 00:00:00","5350","245","11830","11050","11716","50","","5200","58.5","","","241","238","265","","258","4400","","","10613","","39.5","5700","","10350","10555","4800","260","","1250","2175","13250","90","3200","","12109","5550","","","","267","","","4941","3850","","","","","","3601","2322","1267","23","","","",""
"2015-04-27 00:00:00","5350","250","11083","11091","11035","54","","5200","61","","","248","243","270","","258","4400","","","10456","","42","5700","","10350","10066","4800","264","","1250","2175","13250","88","3200","","11705","5550","","","","274","","","4941","3850","","","","","","3601","2322","1267","23","","","",""
"2015-05-04 00:00:00","5350","251","10714","11167","10865","58","","5200","62.5","","","249","244","265","","258","4400","","","9996","","43.5","5700","","10350","9758","4800","263","","1250","2175","13250","86","3200","","10970","5550","","","","276","","","4925","3850","","","","","","3376","2192","1051","23","","","",""
"2015-05-11 00:00:00","5250","259","10558","11270","10463","60","","5200","64","","","257","252","263","","260","4400","","","9371","","45","5700","","9900","9432","4800","270","","1250","1750","12750","82","2600","","10589","5550","","","","285","","","4925","3850","","","","","","3376","2192","1051","23","","","",""
