iter	MultiClass
0	1.77283034
1	1.75708913
2	1.736085064
3	1.721278433
4	1.705014962
5	1.690854776
6	1.673697729
7	1.656111131
8	1.640979049
9	1.62882919
10	1.614062381
11	1.601917048
12	1.585227435
13	1.573961402
14	1.563195918
15	1.552543209
16	1.539518713
17	1.526874196
18	1.515147001
19	1.503417742
20	1.493978316
21	1.483194172
22	1.474102615
23	1.464417918
24	1.455106151
25	1.445860396
26	1.437561996
27	1.422127282
28	1.408390459
29	1.399120075
30	1.39041918
31	1.381210474
32	1.372444695
33	1.363896783
34	1.354394269
35	1.345959636
36	1.336438241
37	1.327303051
38	1.31941885
39	1.310727264
40	1.2995142
41	1.2920308
42	1.283057901
43	1.271823608
44	1.263406
45	1.25555471
46	1.247234188
47	1.239598547
48	1.230982037
49	1.222217532
50	1.21550694
51	1.207844983
52	1.20142975
53	1.193873316
54	1.18610932
55	1.178715353
56	1.172184765
57	1.161877967
58	1.15373901
59	1.146863615
60	1.139737377
61	1.133921388
62	1.127092342
63	1.120631437
64	1.114864271
65	1.107039294
66	1.100295195
67	1.094424595
68	1.089265699
69	1.084316316
70	1.078996311
71	1.073123419
72	1.066261389
73	1.059420402
74	1.052964061
75	1.047499815
76	1.042219939
77	1.036630821
78	1.032161944
79	1.026996517
80	1.022296643
81	1.016055854
82	1.01151791
83	1.006308087
84	1.00053813
85	0.994041882
86	0.9883908704
87	0.9834241773
88	0.9794536739
89	0.9740192163
90	0.9686562179
91	0.9632622621
92	0.9585860971
93	0.9537437828
94	0.9488121867
95	0.94419443
96	0.9391798241
97	0.9349652438
98	0.9299690773
99	0.925642969
100	0.921175567
101	0.9164384903
102	0.9114362206
103	0.9064672623
104	0.9014494454
105	0.8965342409
106	0.8918688208
107	0.8874824895
108	0.8836081806
109	0.8782624822
110	0.8745956785
111	0.8708408204
112	0.8668055223
113	0.8622779923
114	0.857791541
115	0.8541729
116	0.8497191762
117	0.8455901385
118	0.8412084484
119	0.8383433673
120	0.8347080696
121	0.8310521713
122	0.8277450444
123	0.8243898544
124	0.8209055037
125	0.8175462818
126	0.8134191108
127	0.8097229877
128	0.8061823477
129	0.8028803956
130	0.7994011482
131	0.7955191382
132	0.7917521791
133	0.7883995589
134	0.7844387033
135	0.7816399138
136	0.7778161516
137	0.7739369182
138	0.7710705947
139	0.7674776837
140	0.7638227326
141	0.7602233267
142	0.7571616736
143	0.7550157349
144	0.7509387777
145	0.7477118151
146	0.7443414913
147	0.7411063683
148	0.7376885669
149	0.7344533366
150	0.731232673
151	0.7276734154
152	0.724028782
153	0.7209117274
154	0.7176837918
155	0.7151408718
156	0.7123972407
157	0.709275721
158	0.7064077335
159	0.7031135344
160	0.7002449636
161	0.6969154661
162	0.6937334835
163	0.690671247
164	0.6880459136
165	0.6846464662
166	0.681779717
167	0.6785899761
168	0.675376678
169	0.6725014683
170	0.6698268574
171	0.6665607236
172	0.6632321978
173	0.6606199052
174	0.6578086028
175	0.654728946
176	0.651501207
177	0.6486021586
178	0.6454031305
179	0.6428829132
180	0.6401864059
181	0.6378162432
182	0.634971618
183	0.6326115643
184	0.6295773637
185	0.6269430303
186	0.6240821502
187	0.6218334681
188	0.6190857182
189	0.6163178861
190	0.6133942951
191	0.610673185
192	0.6080966248
