iter	Passed	Remaining
0	20	20859
1	41	20825
2	64	21304
3	89	22334
4	113	22658
5	135	22393
6	156	22189
7	177	21951
8	199	21916
9	220	21858
10	244	21976
11	267	22037
12	289	22006
13	311	21935
14	332	21858
15	358	22053
16	380	22003
17	400	21830
18	425	21954
19	456	22365
20	477	22277
21	499	22192
22	518	22009
23	538	21904
24	556	21704
25	574	21539
26	596	21506
27	601	20896
28	621	20812
29	641	20751
30	661	20670
31	682	20630
32	700	20533
33	722	20527
34	741	20438
35	761	20381
36	781	20335
37	800	20275
38	820	20217
39	841	20195
40	860	20135
41	879	20070
42	898	19989
43	917	19934
44	936	19867
45	955	19823
46	975	19787
47	997	19787
48	1017	19755
49	1037	19716
50	1059	19720
51	1078	19665
52	1097	19608
53	1118	19589
54	1137	19552
55	1159	19541
56	1179	19508
57	1199	19477
58	1210	19304
59	1233	19323
60	1255	19326
61	1278	19340
62	1311	19510
63	1344	19656
64	1367	19672
65	1378	19501
66	1398	19473
67	1417	19429
68	1437	19390
69	1457	19369
70	1475	19311
71	1494	19260
72	1513	19217
73	1532	19177
74	1551	19133
75	1569	19086
76	1587	19034
77	1607	18996
78	1626	18961
79	1647	18940
80	1669	18938
81	1679	18802
82	1700	18788
83	1720	18760
84	1740	18740
85	1758	18690
86	1780	18681
87	1799	18647
88	1819	18624
89	1840	18607
90	1859	18571
91	1880	18562
92	1899	18524
93	1919	18501
94	1938	18464
95	1959	18454
96	1979	18424
97	1981	18239
98	1999	18194
99	2008	18072
100	2025	18028
101	2047	18027
102	2070	18033
103	2091	18014
104	2110	17993
105	2129	17957
106	2149	17935
107	2170	17925
108	2190	17906
109	2195	17764
110	2214	17737
111	2235	17722
112	2255	17706
113	2274	17679
114	2295	17663
115	2314	17638
116	2333	17610
117	2354	17597
118	2373	17573
119	2394	17556
120	2415	17550
121	2435	17529
122	2454	17499
123	2475	17486
124	2496	17472
125	2513	17434
126	2516	17295
127	2534	17264
128	2554	17245
129	2574	17227
130	2593	17203
131	2611	17172
132	2630	17146
133	2647	17108
134	2667	17089
135	2687	17072
136	2707	17052
137	2726	17029
138	2744	16997
139	2765	16988
140	2783	16956
141	2802	16933
142	2823	16919
143	2842	16895
144	2861	16875
145	2884	16872
146	2902	16840
147	2921	16819
148	2940	16793
149	2958	16766
150	2980	16759
151	3000	16737
152	3017	16707
153	3038	16690
154	3055	16659
155	3075	16636
156	3097	16631
157	3118	16619
158	3138	16598
159	3156	16573
160	3176	16553
161	3195	16531
