"dt","Индекс стоимости грузоперевозок"
"1970-01-01 03:00:43","1,000"
"1970-01-01 03:00:43","991"
"1970-01-01 03:00:43","992"
"1970-01-01 03:00:43","979"
"1970-01-01 03:00:43","985"
"1970-01-01 03:00:43","962"
"1970-01-01 03:00:43","950"
"1970-01-01 03:00:43","953"
"1970-01-01 03:00:43","951"
"1970-01-01 03:00:43","955"
"1970-01-01 03:00:43","947"
"1970-01-01 03:00:43","939"
"1970-01-01 03:00:43","952"
"1970-01-01 03:00:43","948"
"1970-01-01 03:00:43","958"
"1970-01-01 03:00:43","970"
"1970-01-01 03:00:43","988"
"1970-01-01 03:00:43","1,006"
"1970-01-01 03:00:43","953"
"1970-01-01 03:00:43","927"
"1970-01-01 03:00:43","940"
"1970-01-01 03:00:43","925"
"1970-01-01 03:00:43","919"
"1970-01-01 03:00:43","916"
"1970-01-01 03:00:43","926"
"1970-01-01 03:00:43","941"
"1970-01-01 03:00:43","941"
"1970-01-01 03:00:43","934"
"1970-01-01 03:00:43","933"
"1970-01-01 03:00:43","944"
"1970-01-01 03:00:43","956"
"1970-01-01 03:00:43","940"
"1970-01-01 03:00:43","927"
"1970-01-01 03:00:43","932"
"1970-01-01 03:00:43","961"
"1970-01-01 03:00:43","931"
"1970-01-01 03:00:43","932"
"1970-01-01 03:00:43","954"
"1970-01-01 03:00:43","956"
"1970-01-01 03:00:43","971"
"1970-01-01 03:00:43","969"
"1970-01-01 03:00:43","968"
"1970-01-01 03:00:43","976"
"1970-01-01 03:00:43","1,003"
"1970-01-01 03:00:43","991"
"1970-01-01 03:00:43","999"
"1970-01-01 03:00:43","1,009"
"1970-01-01 03:00:43","1,014"
"1970-01-01 03:00:43","1,021"
"1970-01-01 03:00:43","1,004"
"1970-01-01 03:00:43","1,009"
"1970-01-01 03:00:43","1,012"
"1970-01-01 03:00:43","1,023"
"1970-01-01 03:00:43","1,007"
"1970-01-01 03:00:43","1,018"
"1970-01-01 03:00:43","1,007"
"1970-01-01 03:00:43","1,013"
"1970-01-01 03:00:43","984"
"1970-01-01 03:00:43","983"
"1970-01-01 03:00:43","967"
"1970-01-01 03:00:43","967"
"1970-01-01 03:00:43","972"
"1970-01-01 03:00:43","963"
"1970-01-01 03:00:43","969"
"1970-01-01 03:00:43","984"
"1970-01-01 03:00:43","1,013"
"1970-01-01 03:00:43","1,008"
"1970-01-01 03:00:43","1,016"
"1970-01-01 03:00:43","1,041"
"1970-01-01 03:00:43","1,087"
"1970-01-01 03:00:43","1,040"
"1970-01-01 03:00:43","982"
"1970-01-01 03:00:43","969"
"1970-01-01 03:00:43","971"
"1970-01-01 03:00:44","985"
"1970-01-01 03:00:44","979"
"1970-01-01 03:00:44","964"
"1970-01-01 03:00:44","981"
"1970-01-01 03:00:44","987"
"1970-01-01 03:00:44","981"
"1970-01-01 03:00:44","967"
"1970-01-01 03:00:44","978"
"1970-01-01 03:00:44","989"
"1970-01-01 03:00:44","967"
"1970-01-01 03:00:44","965"
"1970-01-01 03:00:44","972"
"1970-01-01 03:00:44","1,002"
"1970-01-01 03:00:44","993"
"1970-01-01 03:00:44","984"
"1970-01-01 03:00:44","984"
"1970-01-01 03:00:44","998"
"1970-01-01 03:00:44","1,014"
"1970-01-01 03:00:44","996"
"1970-01-01 03:00:44","995"
"1970-01-01 03:00:44","1,010"
"1970-01-01 03:00:44","1,031"
"1970-01-01 03:00:44","1,009"
"1970-01-01 03:00:44","1,010"
"1970-01-01 03:00:44","1,015"
"1970-01-01 03:00:44","1,031"
"1970-01-01 03:00:44","1,009"
"1970-01-01 03:00:44","1,003"
"1970-01-01 03:00:44","1,015"
"1970-01-01 03:00:44","1,023"
"1970-01-01 03:00:44","1,031"
"1970-01-01 03:00:44","1,018"
"1970-01-01 03:00:44","1,018"
"1970-01-01 03:00:44","1,019"
"1970-01-01 03:00:44","1,031"
"1970-01-01 03:00:44","1,011"
"1970-01-01 03:00:44","995"
"1970-01-01 03:00:44","992"
"1970-01-01 03:00:44","997"
"1970-01-01 03:00:44","1,011"
"1970-01-01 03:00:44","998"
"1970-01-01 03:00:44","998"
"1970-01-01 03:00:44","1,018"
"1970-01-01 03:00:44","1,022"
"1970-01-01 03:00:44","1,021"
"1970-01-01 03:00:44","1,010"
"1970-01-01 03:00:44","1,017"
"1970-01-01 03:00:44","1,059"
"1970-01-01 03:00:44","1,045"
"1970-01-01 03:00:44","958"
"1970-01-01 03:00:44","950"
"1970-01-01 03:00:44","943"
"1970-01-01 03:00:44","944"
"1970-01-01 03:00:44","945"
"1970-01-01 03:00:44","942"
"1970-01-01 03:00:44","950"
"1970-01-01 03:00:44","963"
"1970-01-01 03:00:44","954"
"1970-01-01 03:00:44","963"
"1970-01-01 03:00:44","1,009"
"1970-01-01 03:00:44","1,028"
"1970-01-01 03:00:44","998"
"1970-01-01 03:00:44","959"
"1970-01-01 03:00:44","934"
"1970-01-01 03:00:44","918"
"1970-01-01 03:00:44","926"
"1970-01-01 03:00:44","904"
"1970-01-01 03:00:44","908"
"1970-01-01 03:00:44","914"
"1970-01-01 03:00:44","916"
"1970-01-01 03:00:44","915"
"1970-01-01 03:00:44","937"
"1970-01-01 03:00:44","950"
"1970-01-01 03:00:44","965"
"1970-01-01 03:00:44","965"
"1970-01-01 03:00:44","991"
"1970-01-01 03:00:44","1,008"
"1970-01-01 03:00:44","1,016"
"1970-01-01 03:00:44","1,024"
"1970-01-01 03:00:44","1,009"
"1970-01-01 03:00:44","1,014"
"1970-01-01 03:00:44","1,029"
"1970-01-01 03:00:44","1,041"
"1970-01-01 03:00:44","1,030"
"1970-01-01 03:00:44","1,023"
"1970-01-01 03:00:44","1,020"
"1970-01-01 03:00:44","1,038"
"1970-01-01 03:00:44","1,021"
"1970-01-01 03:00:44","1,003"
"1970-01-01 03:00:44","997"
"1970-01-01 03:00:44","1,013"
"1970-01-01 03:00:44","1,022"
"1970-01-01 03:00:44","1,006"
"1970-01-01 03:00:44","1,006"
"1970-01-01 03:00:44","1,031"
"1970-01-01 03:00:44","1,034"
"1970-01-01 03:00:44","1,030"
"1970-01-01 03:00:44","1,040"
"1970-01-01 03:00:44","1,051"
"1970-01-01 03:00:44","1,103"
"1970-01-01 03:00:44","1,092"
"1970-01-01 03:00:44","1,006"
"1970-01-01 03:00:44","1,031"
"1970-01-01 03:00:44","1,037"
"1970-01-01 03:00:44","1,031"
"1970-01-01 03:00:44","1,038"
"1970-01-01 03:00:44","1,059"
"1970-01-01 03:00:44","1,098"
"1970-01-01 03:00:44","1,091"
"1970-01-01 03:00:44","1,087"
"1970-01-01 03:00:44","1,071"
"1970-01-01 03:00:44","1,057"
"1970-01-01 03:00:44","1,074"
"1970-01-01 03:00:44","1,058"
"1970-01-01 03:00:44","1,055"
"1970-01-01 03:00:44","1,050"
"1970-01-01 03:00:44","1,060"
"1970-01-01 03:00:44","1,094"
"1970-01-01 03:00:44","1,073"
"1970-01-01 03:00:44","1,078"
"1970-01-01 03:00:44","1,096"
"1970-01-01 03:00:44","1,128"
"1970-01-01 03:00:44","1,120"
"1970-01-01 03:00:44","1,116"
"1970-01-01 03:00:44","1,134"
"1970-01-01 03:00:44","1,175"
"1970-01-01 03:00:44","1,182"
"1970-01-01 03:00:44","1,170"
"1970-01-01 03:00:44","1,194"
"1970-01-01 03:00:44","1,191"
"1970-01-01 03:00:44","1,197"
"1970-01-01 03:00:44","1,198"
"1970-01-01 03:00:44","1,209"
"1970-01-01 03:00:44","1,237"
"1970-01-01 03:00:44","1,242"
"1970-01-01 03:00:44","1,231"
"1970-01-01 03:00:44","1,227"
"1970-01-01 03:00:44","1,230"
"1970-01-01 03:00:44","1,248"
"1970-01-01 03:00:44","1,247"
"1970-01-01 03:00:44","1,236"
"1970-01-01 03:00:44","1,246"
