dt,price,volume,change_price
03/31/2023,1043.2,571720.00,-1.68%
03/30/2023,1061.0,1300000.00,-1.27%
03/29/2023,1074.6,1790000.00,3.53%
03/28/2023,1038.0,269090.00,-0.17%
03/27/2023,1039.8,410740.00,0.50%
03/24/2023,1034.6,360850.00,-0.44%
03/23/2023,1039.2,289630.00,-0.73%
03/22/2023,1046.8,415700.00,0.79%
03/21/2023,1038.6,618430.00,-2.02%
03/20/2023,1060.0,897830.00,2.55%
03/17/2023,1033.6,671770.00,0.51%
03/16/2023,1028.4,856840.00,0.88%
03/15/2023,1019.4,844080.00,-1.60%
03/14/2023,1036.0,554680.00,-0.58%
03/13/2023,1042.0,723200.00,-0.97%
03/10/2023,1052.2,637770.00,-0.04%
03/09/2023,1052.6,437910.00,-0.30%
03/07/2023,1055.8,519460.00,0.27%
03/06/2023,1053.0,683460.00,-0.98%
03/03/2023,1063.4,400020.00,1.37%
03/02/2023,1049.0,1090000.00,-1.08%
03/01/2023,1060.4,647380.00,0.51%
02/28/2023,1055.0,1030000.00,-0.57%
02/27/2023,1061.0,1120000.00,1.86%
02/24/2023,1041.6,993880.00,1.54%
02/22/2023,1025.8,1300000.00,1.28%
02/21/2023,1012.8,1380000.00,2.82%
02/20/2023,985.0,714830.00,0.96%
02/17/2023,975.6,622290.00,0.18%
02/16/2023,973.8,985560.00,0.95%
02/15/2023,964.6,1480000.00,-3.15%
02/14/2023,996.0,926910.00,-1.97%
02/13/2023,1016.0,724120.00,-0.45%
02/10/2023,1020.6,894150.00,1.19%
02/09/2023,1008.6,1630000.00,2.69%
02/08/2023,982.2,1360000.00,-1.78%
02/07/2023,1000.0,1740000.00,-3.38%
02/06/2023,1035.0,1510000.00,1.85%
02/03/2023,1016.2,1430000.00,1.91%
02/02/2023,997.2,1860000.00,2.11%
02/01/2023,976.6,1660000.00,5.12%
01/31/2023,929.0,998960.00,1.77%
01/30/2023,912.8,688130.00,1.94%
01/27/2023,895.4,488940.00,1.59%
01/26/2023,881.4,306490.00,0.71%
01/25/2023,875.2,444430.00,0.00%
01/24/2023,875.2,442750.00,-1.88%
01/23/2023,892.0,333780.00,0.47%
01/20/2023,887.8,574340.00,-0.72%
01/19/2023,894.2,382660.00,-1.82%
01/18/2023,910.8,506540.00,0.77%
01/17/2023,903.8,663910.00,-1.97%
01/16/2023,922.0,784450.00,3.55%
01/13/2023,890.4,330220.00,1.14%
01/12/2023,880.4,415680.00,0.07%
01/11/2023,879.8,422410.00,1.88%
01/10/2023,863.6,403570.00,-1.03%
01/09/2023,872.6,835930.00,-1.33%
01/06/2023,884.4,328170.00,0.18%
01/05/2023,882.8,297180.00,-0.65%
01/04/2023,888.6,369930.00,-1.00%
01/03/2023,897.6,358180.00,-0.71%
12/30/2022,904.0,652370.00,1.78%
12/29/2022,888.2,327860.00,-0.07%
12/28/2022,888.8,694900.00,-2.05%
12/27/2022,907.4,588570.00,1.61%
12/26/2022,893.0,644350.00,0.50%
12/23/2022,888.6,469740.00,0.70%
12/22/2022,882.4,884410.00,1.54%
12/21/2022,869.0,1480000.00,-1.90%
12/20/2022,885.8,1060000.00,1.19%
12/19/2022,875.4,1330000.00,2.53%
12/16/2022,853.8,804160.00,1.69%
12/15/2022,839.6,1120000.00,0.17%
12/14/2022,838.2,611740.00,-0.40%
12/13/2022,841.6,1470000.00,2.56%
12/12/2022,820.6,1020000.00,1.94%
12/09/2022,805.0,528630.00,0.50%
12/08/2022,801.0,715620.00,1.11%
12/07/2022,792.2,432930.00,1.05%
12/06/2022,784.0,253960.00,0.46%
12/05/2022,780.4,349680.00,0.31%
12/02/2022,778.0,487170.00,-0.84%
12/01/2022,784.6,282570.00,-0.78%
11/30/2022,790.8,328960.00,-0.23%
11/29/2022,792.6,230880.00,0.13%
11/28/2022,791.6,271410.00,0.00%
11/25/2022,791.6,241500.00,-0.05%
11/24/2022,792.0,411670.00,-0.80%
11/23/2022,798.4,511370.00,1.11%
11/22/2022,789.6,579230.00,1.73%
11/21/2022,776.2,360210.00,-1.52%
11/18/2022,788.2,335820.00,0.36%
11/17/2022,785.4,343880.00,-0.78%
11/16/2022,791.6,548170.00,2.38%
11/15/2022,773.2,883470.00,-2.77%
11/14/2022,795.2,649310.00,-0.45%
11/11/2022,798.8,483960.00,-0.20%
11/10/2022,800.4,1100000.00,1.91%
11/09/2022,785.4,1380000.00,-4.50%
11/08/2022,822.4,1100000.00,-0.19%
11/07/2022,824.0,1550000.00,5.37%
11/03/2022,782.0,1210000.00,1.56%
11/02/2022,770.0,579030.00,-2.43%
11/01/2022,789.2,861120.00,0.31%
10/31/2022,786.8,1300000.00,-3.63%
10/28/2022,816.4,1680000.00,-1.21%
10/27/2022,826.4,2400000.00,6.00%
10/26/2022,779.6,1650000.00,2.96%
10/25/2022,757.2,900730.00,4.07%
10/24/2022,727.6,1360000.00,-0.63%
10/21/2022,732.2,2020000.00,6.58%
10/20/2022,687.0,1270000.00,5.08%
10/19/2022,653.8,1130000.00,1.52%
10/18/2022,644.0,1690000.00,-1.74%
10/17/2022,655.4,2170000.00,6.40%
10/14/2022,616.0,1510000.00,4.30%
10/13/2022,590.6,324230.00,-0.91%
10/12/2022,596.0,481750.00,-0.77%
10/11/2022,600.6,891180.00,1.35%
10/10/2022,592.6,768830.00,3.49%
10/07/2022,572.6,496870.00,-3.11%
10/06/2022,591.0,403890.00,-0.67%
10/05/2022,595.0,829320.00,-2.49%
10/04/2022,610.2,629940.00,-3.78%
10/03/2022,634.2,816400.00,1.96%
09/30/2022,622.0,1440000.00,7.09%
09/29/2022,580.8,1010000.00,-5.81%
09/28/2022,616.6,552860.00,-1.25%
09/27/2022,624.4,851630.00,3.04%
09/26/2022,606.0,1780000.00,-13.48%
09/23/2022,700.4,816480.00,-3.29%
09/22/2022,724.2,730890.00,3.34%
09/21/2022,700.8,967640.00,-3.82%
09/20/2022,728.6,1260000.00,-6.88%
09/19/2022,782.4,335180.00,0.13%
09/16/2022,781.4,389700.00,0.80%
09/15/2022,775.2,630760.00,0.73%
09/14/2022,769.6,576110.00,-1.05%
09/13/2022,777.8,442490.00,-0.28%
09/12/2022,780.0,624530.00,-0.36%
09/09/2022,782.8,489100.00,1.08%
09/08/2022,774.4,546510.00,-1.35%
09/07/2022,785.0,645330.00,-0.36%
09/06/2022,787.8,1350000.00,-1.28%
09/05/2022,798.0,793860.00,3.05%
09/02/2022,774.4,806250.00,4.31%
09/01/2022,742.4,436950.00,-1.64%
08/31/2022,754.8,735140.00,1.48%
08/30/2022,743.8,772510.00,0.65%
08/29/2022,739.0,758040.00,3.70%
08/26/2022,712.6,167460.00,0.96%
08/25/2022,705.8,301820.00,-0.59%
08/24/2022,710.0,277270.00,-0.28%
08/23/2022,712.0,275310.00,0.56%
08/22/2022,708.0,255550.00,0.65%
08/19/2022,703.4,310360.00,0.57%
08/18/2022,699.4,244820.00,-0.37%
08/17/2022,702.0,465310.00,-1.63%
08/16/2022,713.6,612000.00,0.76%
08/15/2022,708.2,422710.00,1.17%
08/12/2022,700.0,310780.00,-0.71%
08/11/2022,705.0,578830.00,1.00%
08/10/2022,698.0,425100.00,-1.36%
08/09/2022,707.6,686740.00,3.51%
08/08/2022,683.6,529460.00,0.53%
08/05/2022,680.0,667560.00,-2.63%
08/04/2022,698.4,421870.00,0.34%
08/03/2022,696.0,741880.00,-4.05%
08/02/2022,725.4,583950.00,-0.90%
08/01/2022,732.0,1070000.00,-0.25%
07/29/2022,733.8,652100.00,1.92%
07/28/2022,720.0,1120000.00,-3.02%
07/27/2022,742.4,1190000.00,2.68%
07/26/2022,723.0,692550.00,4.03%
07/25/2022,695.0,801230.00,0.78%
07/22/2022,689.6,690100.00,0.97%
07/21/2022,683.0,1020000.00,-2.82%
07/20/2022,702.8,811690.00,-1.71%
07/19/2022,715.0,543880.00,-1.00%
07/18/2022,722.2,355020.00,-2.38%
07/15/2022,739.8,564690.00,-0.51%
07/14/2022,743.6,353340.00,-1.69%
07/13/2022,756.4,581530.00,-3.00%
07/12/2022,779.8,541470.00,-3.56%
07/11/2022,808.6,297260.00,-1.56%
07/08/2022,821.4,229770.00,-0.29%
07/07/2022,823.8,346110.00,-0.89%
07/06/2022,831.2,389150.00,-0.10%
07/05/2022,832.0,634590.00,-1.75%
07/04/2022,846.8,440130.00,2.02%
07/01/2022,830.0,824580.00,0.00%
06/30/2022,830.0,1250000.00,-1.19%
06/29/2022,840.0,1160000.00,3.60%
06/28/2022,810.8,636370.00,-2.62%
06/27/2022,832.6,591470.00,1.71%
06/24/2022,818.6,1470000.00,1.44%
06/23/2022,807.0,925680.00,2.70%
06/22/2022,785.8,870470.00,1.97%
06/21/2022,770.6,1510000.00,0.34%
06/20/2022,768.0,1320000.00,4.49%
06/17/2022,735.0,699380.00,-0.86%
06/16/2022,741.4,804020.00,2.12%
06/15/2022,726.0,557770.00,0.83%
06/14/2022,720.0,563640.00,-0.14%
06/10/2022,721.0,718360.00,0.98%
06/09/2022,714.0,957640.00,-2.43%
06/08/2022,731.8,1940000.00,2.01%
