dt,price,volume,change_price
31.03.2023,3969.0,18230000.00,"-1,38%"
30.03.2023,4024.0,27140000.00,"-0,87%"
29.03.2023,4060.0,48700000.00,"3,70%"
28.03.2023,3915.0,17020000.00,"-0,62%"
27.03.2023,3940.0,20950000.00,"1,26%"
24.03.2023,3890.0,13860000.00,"-0,64%"
23.03.2023,3915.0,15020000.00,"-0,50%"
22.03.2023,3935.0,13830000.00,"-0,62%"
21.03.2023,3960.0,19530000.00,"-1,39%"
20.03.2023,4015.0,25530000.00,"0,66%"
17.03.2023,3989.0,32370000.00,"-0,89%"
16.03.2023,4025.0,29930000.00,"-1,59%"
15.03.2023,4090.0,12440000.00,"-0,92%"
14.03.2023,4128.0,13330000.00,"-0,57%"
13.03.2023,4151.0,24480000.00,"-1,41%"
10.03.2023,4211.0,22620000.00,"1,94%"
09.03.2023,4131.0,24120000.00,"1,59%"
07.03.2023,4067.0,19410000.00,"1,70%"
06.03.2023,3999.0,16740000.00,"0,77%"
03.03.2023,3968.0,9960000.00,"1,90%"
02.03.2023,3894.0,21410000.00,"-1,34%"
01.03.2023,3947.0,9530000.00,"1,02%"
28.02.2023,3907.0,11010000.00,"-0,06%"
27.02.2023,3910.0,14420000.00,"0,70%"
24.02.2023,3883.0,19280000.00,"0,06%"
22.02.2023,3880.0,18470000.00,"1,28%"
21.02.2023,3831.0,26620000.00,"4,02%"
20.02.2023,3683.0,14350000.00,"0,81%"
17.02.2023,3653.0,11180000.00,"0,52%"
16.02.2023,3635.0,13970000.00,"1,42%"
15.02.2023,3583.0,24520000.00,"-4,15%"
14.02.2023,3738.0,18360000.00,"-2,66%"
13.02.2023,3840.0,9380000.00,"-0,16%"
10.02.2023,3847.0,13530000.00,"0,85%"
09.02.2023,3814.0,11610000.00,"0,98%"
08.02.2023,3777.0,12600000.00,"-0,81%"
07.02.2023,3808.0,12490000.00,"-0,85%"
06.02.2023,3840.0,19790000.00,"0,71%"
03.02.2023,3813.0,24110000.00,"0,49%"
02.02.2023,3795.0,34130000.00,"3,46%"
01.02.2023,3668.0,20400000.00,"2,04%"
31.01.2023,3594.0,17560000.00,"1,35%"
30.01.2023,3547.0,26990000.00,"3,32%"
27.01.2023,3433.0,6040000.00,"1,15%"
26.01.2023,3394.0,4390000.00,"-0,15%"
25.01.2023,3399.0,6280000.00,"0,22%"
24.01.2023,3391.0,8790000.00,"-0,41%"
23.01.2023,3405.0,6560000.00,"0,80%"
20.01.2023,3378.0,12120000.00,"-0,62%"
19.01.2023,3399.0,8030000.00,"-1,46%"
18.01.2023,3449.0,7560000.00,"0,92%"
17.01.2023,3418.0,10590000.00,"-1,33%"
16.01.2023,3464.0,9230000.00,"1,66%"
13.01.2023,3408.0,8260000.00,"0,69%"
12.01.2023,3384.0,8210000.00,"0,68%"
11.01.2023,3361.0,8510000.00,"0,96%"
10.01.2023,3329.0,9150000.00,"0,09%"
09.01.2023,3326.0,7420000.00,"-0,30%"
06.01.2023,3336.0,3460000.00,"0,71%"
05.01.2023,3313.0,4940000.00,"-0,45%"
04.01.2023,3328.0,5690000.00,"-0,36%"
03.01.2023,3340.0,7370000.00,"1,61%"
30.12.2022,3287.0,11050000.00,"2,03%"
29.12.2022,3221.0,3230000.00,"0,22%"
28.12.2022,3214.0,8620000.00,"0,00%"
27.12.2022,3214.0,6210000.00,"0,20%"
26.12.2022,3208.0,6850000.00,"0,64%"
23.12.2022,3187.0,5590000.00,"-0,06%"
22.12.2022,3189.0,12720000.00,"0,13%"
21.12.2022,3185.0,30600000.00,"-1,88%"
20.12.2022,3246.0,58100000.00,"-1,43%"
19.12.2022,3293.0,25960000.00,"4,08%"
16.12.2022,3164.0,10690000.00,"0,94%"
15.12.2022,3134.0,19810000.00,"-1,88%"
14.12.2022,3194.0,8970000.00,"-0,79%"
13.12.2022,3220.0,27490000.00,"1,02%"
12.12.2022,3188.0,13560000.00,"1,03%"
09.12.2022,3155.0,14730000.00,"-0,28%"
08.12.2022,3164.0,21770000.00,"1,25%"
07.12.2022,3125.0,11500000.00,"0,14%"
06.12.2022,3120.0,6850000.00,"-0,08%"
05.12.2022,3123.0,11460000.00,"-0,03%"
02.12.2022,3124.0,10520000.00,"-0,87%"
01.12.2022,3151.0,8490000.00,"-0,16%"
30.11.2022,3157.0,20670000.00,"-0,11%"
29.11.2022,3160.0,19040000.00,"2,46%"
28.11.2022,3084.0,13840000.00,"0,10%"
25.11.2022,3081.0,12530000.00,"-0,36%"
24.11.2022,3092.0,7790000.00,"-0,37%"
23.11.2022,3103.0,28430000.00,"-0,66%"
22.11.2022,3124.0,40810000.00,"3,99%"
21.11.2022,3004.0,14950000.00,"-0,36%"
18.11.2022,3015.0,8670000.00,"-0,03%"
17.11.2022,3016.0,9700000.00,"-1,13%"
16.11.2022,3050.0,19310000.00,"2,04%"
15.11.2022,2990.0,29810000.00,"-3,53%"
14.11.2022,3099.0,23760000.00,"0,03%"
11.11.2022,3098.0,19140000.00,"-0,77%"
10.11.2022,3122.0,28210000.00,"1,41%"
09.11.2022,3078.0,33190000.00,"-4,65%"
08.11.2022,3228.0,25750000.00,"-1,97%"
07.11.2022,3294.0,41810000.00,"4,56%"
03.11.2022,3150.0,33880000.00,"3,41%"
02.11.2022,3046.0,9670000.00,"-2,01%"
01.11.2022,3108.0,20770000.00,"-0,27%"
31.10.2022,3117.0,25360000.00,"-2,68%"
28.10.2022,3203.0,28390000.00,"-0,99%"
27.10.2022,3235.0,54810000.00,"5,91%"
26.10.2022,3055.0,32410000.00,"2,33%"
25.10.2022,2985.0,25980000.00,"1,08%"
24.10.2022,2953.0,48450000.00,"2,52%"
21.10.2022,2881.0,47640000.00,"2,73%"
20.10.2022,2804.0,45560000.00,"5,14%"
19.10.2022,2667.0,48450000.00,"-3,28%"
18.10.2022,2758.0,32090000.00,"-1,99%"
17.10.2022,2814.0,35040000.00,"7,57%"
14.10.2022,2616.0,15730000.00,"0,08%"
13.10.2022,2614.0,15470000.00,"-1,08%"
12.10.2022,2642.0,22290000.00,"0,53%"
11.10.2022,2628.0,21020000.00,"3,67%"
10.10.2022,2535.0,28620000.00,"5,54%"
07.10.2022,2402.0,14630000.00,"-3,65%"
06.10.2022,2493.0,12770000.00,"-1,15%"
05.10.2022,2522.0,25530000.00,"-0,28%"
04.10.2022,2529.0,22210000.00,"-2,73%"
03.10.2022,2600.0,33120000.00,"7,26%"
30.09.2022,2424.0,48250000.00,"7,19%"
29.09.2022,2261.0,24730000.00,"-2,46%"
28.09.2022,2318.0,28230000.00,"-0,96%"
27.09.2022,2341.0,43480000.00,"1,08%"
26.09.2022,2316.0,51150000.00,"-9,18%"
23.09.2022,2550.0,56420000.00,"-9,67%"
22.09.2022,2823.0,16460000.00,"3,86%"
21.09.2022,2718.0,22120000.00,"-3,69%"
20.09.2022,2822.0,48760000.00,"-5,82%"
19.09.2022,2997.0,15650000.00,"-0,88%"
16.09.2022,3023.0,16830000.00,"1,49%"
15.09.2022,2978.0,11820000.00,"1,76%"
14.09.2022,2927.0,11090000.00,"-0,59%"
13.09.2022,2944.0,10410000.00,"-0,96%"
12.09.2022,2973.0,14690000.00,"2,57%"
09.09.2022,2899.0,9090000.00,"1,13%"
08.09.2022,2866.0,12630000.00,"-0,30%"
07.09.2022,2875.0,12350000.00,"-1,46%"
06.09.2022,2917.0,27460000.00,"-4,05%"
05.09.2022,3040.0,12470000.00,"1,33%"
02.09.2022,3000.0,13190000.00,"2,02%"
01.09.2022,2941.0,12480000.00,"0,63%"
31.08.2022,2922.0,18460000.00,"3,38%"
30.08.2022,2826.0,26470000.00,"0,37%"
29.08.2022,2816.0,18310000.00,"3,23%"
26.08.2022,2728.0,7500000.00,"1,72%"
25.08.2022,2682.0,10930000.00,"-0,54%"
24.08.2022,2697.0,5390000.00,"-0,52%"
23.08.2022,2710.0,11250000.00,"0,76%"
22.08.2022,2690.0,11870000.00,"-0,37%"
19.08.2022,2700.0,13670000.00,"2,23%"
18.08.2022,2641.0,14110000.00,"-1,18%"
17.08.2022,2673.0,18880000.00,"-1,38%"
16.08.2022,2710.0,29440000.00,"0,31%"
15.08.2022,2701.0,29910000.00,"3,62%"
12.08.2022,2607.0,25240000.00,"3,12%"
11.08.2022,2528.0,40020000.00,"2,97%"
10.08.2022,2455.0,29710000.00,"1,15%"
09.08.2022,2427.0,20910000.00,"1,93%"
08.08.2022,2381.0,20110000.00,"1,49%"
