dt,price,volume,change_price
2023-03-31 00:00:00,129.32,3540000.00,-0.98%
2023-03-30 00:00:00,130.6,4850000.00,-0.94%
2023-03-29 00:00:00,131.84,10370000.00,3.37%
2023-03-28 00:00:00,127.54,2270000.00,-0.50%
2023-03-27 00:00:00,128.18,2810000.00,1.33%
2023-03-24 00:00:00,126.5,1260000.00,0.24%
2023-03-23 00:00:00,126.2,2880000.00,0.88%
2023-03-22 00:00:00,125.1,1490000.00,-0.78%
2023-03-21 00:00:00,126.08,3450000.00,-1.18%
2023-03-20 00:00:00,127.58,5780000.00,1.98%
2023-03-17 00:00:00,125.1,3990000.00,0.77%
2023-03-16 00:00:00,124.14,3420000.00,0.26%
2023-03-15 00:00:00,123.82,3350000.00,-1.50%
2023-03-14 00:00:00,125.7,2720000.00,0.62%
2023-03-13 00:00:00,124.92,4500000.00,-1.36%
2023-03-10 00:00:00,126.64,2660000.00,0.14%
2023-03-09 00:00:00,126.46,2630000.00,0.06%
2023-03-07 00:00:00,126.38,3380000.00,-0.46%
2023-03-06 00:00:00,126.96,5010000.00,-1.06%
2023-03-03 00:00:00,128.32,2940000.00,1.73%
2023-03-02 00:00:00,126.14,6610000.00,-1.44%
2023-03-01 00:00:00,127.98,5700000.00,2.22%
2023-02-28 00:00:00,125.2,5400000.00,0.92%
2023-02-27 00:00:00,124.06,6000000.00,3.38%
2023-02-24 00:00:00,120.0,3080000.00,-0.78%
2023-02-22 00:00:00,120.94,4050000.00,-0.69%
2023-02-21 00:00:00,121.78,6030000.00,3.33%
2023-02-20 00:00:00,117.86,3840000.00,0.36%
2023-02-17 00:00:00,117.44,4330000.00,-0.47%
2023-02-16 00:00:00,118.0,5490000.00,0.34%
2023-02-15 00:00:00,117.6,6670000.00,-4.34%
2023-02-14 00:00:00,122.94,4200000.00,-2.97%
2023-02-13 00:00:00,126.7,4230000.00,1.36%
2023-02-10 00:00:00,125.0,7150000.00,2.04%
2023-02-09 00:00:00,122.5,4590000.00,2.68%
2023-02-08 00:00:00,119.3,3490000.00,-2.08%
2023-02-07 00:00:00,121.84,3420000.00,-1.30%
2023-02-06 00:00:00,123.44,5090000.00,2.63%
2023-02-03 00:00:00,120.28,4160000.00,0.05%
2023-02-02 00:00:00,120.22,5560000.00,1.06%
2023-02-01 00:00:00,118.96,5210000.00,1.85%
2023-01-31 00:00:00,116.8,2920000.00,1.42%
2023-01-30 00:00:00,115.16,3010000.00,1.23%
2023-01-27 00:00:00,113.76,2290000.00,1.25%
2023-01-26 00:00:00,112.36,1870000.00,0.64%
2023-01-25 00:00:00,111.64,1700000.00,0.34%
2023-01-24 00:00:00,111.26,1770000.00,-0.68%
2023-01-23 00:00:00,112.02,1600000.00,0.04%
2023-01-20 00:00:00,111.98,1820000.00,0.43%
2023-01-19 00:00:00,111.5,2790000.00,-0.04%
2023-01-18 00:00:00,111.54,3260000.00,0.14%
2023-01-17 00:00:00,111.38,4750000.00,-2.55%
2023-01-16 00:00:00,114.3,4360000.00,1.91%
2023-01-13 00:00:00,112.16,2000000.00,0.59%
2023-01-12 00:00:00,111.5,2320000.00,-0.54%
2023-01-11 00:00:00,112.1,3470000.00,2.64%
2023-01-10 00:00:00,109.22,3620000.00,-1.07%
2023-01-09 00:00:00,110.4,4640000.00,-0.84%
2023-01-06 00:00:00,111.34,1900000.00,-0.64%
2023-01-05 00:00:00,112.06,2310000.00,-0.25%
2023-01-04 00:00:00,112.34,4180000.00,-1.77%
2023-01-03 00:00:00,114.36,6510000.00,-2.89%
2022-12-30 00:00:00,117.76,4210000.00,2.19%
2022-12-29 00:00:00,115.24,1550000.00,-0.28%
2022-12-28 00:00:00,115.56,3130000.00,-0.33%
2022-12-27 00:00:00,115.94,3600000.00,0.56%
2022-12-26 00:00:00,115.3,2350000.00,0.59%
2022-12-23 00:00:00,114.62,3040000.00,0.76%
2022-12-22 00:00:00,113.76,4560000.00,-0.77%
2022-12-21 00:00:00,114.64,6670000.00,0.16%
2022-12-20 00:00:00,114.46,8200000.00,2.80%
2022-12-19 00:00:00,111.34,6020000.00,2.75%
2022-12-16 00:00:00,108.36,2070000.00,1.18%
2022-12-15 00:00:00,107.1,4680000.00,-1.60%
2022-12-14 00:00:00,108.84,5170000.00,1.36%
2022-12-13 00:00:00,107.38,4530000.00,0.22%
2022-12-12 00:00:00,107.14,4120000.00,0.66%
2022-12-09 00:00:00,106.44,5370000.00,-1.26%
2022-12-08 00:00:00,107.8,5350000.00,1.89%
2022-12-07 00:00:00,105.8,2950000.00,-0.71%
2022-12-06 00:00:00,106.56,3320000.00,0.81%
2022-12-05 00:00:00,105.7,2610000.00,0.25%
2022-12-02 00:00:00,105.44,2430000.00,-1.11%
2022-12-01 00:00:00,106.62,2050000.00,0.13%
2022-11-30 00:00:00,106.48,1860000.00,0.09%
2022-11-29 00:00:00,106.38,3280000.00,0.59%
2022-11-28 00:00:00,105.76,2620000.00,0.34%
2022-11-25 00:00:00,105.4,2740000.00,-0.72%
2022-11-24 00:00:00,106.16,2700000.00,-0.54%
2022-11-23 00:00:00,106.74,3970000.00,-0.09%
2022-11-22 00:00:00,106.84,5260000.00,2.42%
2022-11-21 00:00:00,104.32,3580000.00,-1.49%
2022-11-18 00:00:00,105.9,2680000.00,0.21%
2022-11-17 00:00:00,105.68,3550000.00,-1.34%
2022-11-16 00:00:00,107.12,4950000.00,3.06%
2022-11-15 00:00:00,103.94,9530000.00,-2.84%
2022-11-14 00:00:00,106.98,5600000.00,-0.02%
2022-11-11 00:00:00,107.0,4950000.00,-0.30%
2022-11-10 00:00:00,107.32,7590000.00,2.93%
2022-11-09 00:00:00,104.26,8100000.00,-4.45%
2022-11-08 00:00:00,109.12,7290000.00,-0.73%
2022-11-07 00:00:00,109.92,12080000.00,5.69%
2022-11-03 00:00:00,104.0,9230000.00,3.36%
2022-11-02 00:00:00,100.62,4310000.00,-2.58%
2022-11-01 00:00:00,103.28,6170000.00,0.19%
2022-10-31 00:00:00,103.08,8620000.00,-2.74%
2022-10-28 00:00:00,105.98,10420000.00,0.38%
2022-10-27 00:00:00,105.58,18250000.00,5.37%
2022-10-26 00:00:00,100.2,11580000.00,4.07%
2022-10-25 00:00:00,96.28,7470000.00,3.02%
2022-10-24 00:00:00,93.46,9120000.00,-0.91%
2022-10-21 00:00:00,94.32,15860000.00,5.62%
2022-10-20 00:00:00,89.3,9750000.00,4.71%
2022-10-19 00:00:00,85.28,5170000.00,0.40%
2022-10-18 00:00:00,84.94,10140000.00,-3.17%
