"ЖРС_Китай Iron ore fines Fe 62%, CFR","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","Лом_3А, FOB РФ Черное море, $/т","Чугун_CFR Италия, $/т","Чугун_Россия, FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ГБЖ_CFR Италия, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС",date
62,2275.0,,3700.0,3300,106,228,12728,221,,21250,297,,,,2015-02-09 00:00:00
63,2275.0,,3700.0,3300,106,206,12852,213,,21250,278,,,,2015-02-16 00:00:00
64,2275.0,,3700.0,3300,103,207,13034,208,,21250,265,,,,2015-02-23 00:00:00
63,2275.0,2097.0,3700.0,3300,103,214,12910,215,,21250,265,,3540.0,1261.0,2015-03-02 00:00:00
61,2425.0,2097.0,4050.0,3750,103,232,12964,221,,15250,265,,3540.0,1261.0,2015-03-09 00:00:00
58,2425.0,2097.0,4050.0,3750,102,229,12812,223,,15250,263,,3540.0,1261.0,2015-03-16 00:00:00
56,2425.0,2097.0,4050.0,3750,101,230,12694,220,,15250,263,,3540.0,1261.0,2015-03-23 00:00:00
55,2425.0,2322.0,4050.0,3750,98,231,12569,221,,15250,261,,3601.0,1267.0,2015-03-30 00:00:00
50,2175.0,2322.0,4050.0,3750,95,235,12421,229,,13250,264,,3601.0,1267.0,2015-04-06 00:00:00
48,2175.0,2322.0,5200.0,4400,92,238,12146,229,,13250,260,,3601.0,1267.0,2015-04-13 00:00:00
50,2175.0,2322.0,5200.0,4400,90,245,11716,238,,13250,260,,3601.0,1267.0,2015-04-20 00:00:00
54,2175.0,2322.0,5200.0,4400,88,250,11035,243,,13250,264,,3601.0,1267.0,2015-04-27 00:00:00
58,2175.0,2192.0,5200.0,4400,86,251,10865,244,,13250,263,,3376.0,1051.0,2015-05-04 00:00:00
60,1750.0,2192.0,5200.0,4400,82,259,10463,252,,12750,270,,3376.0,1051.0,2015-05-11 00:00:00
62,1750.0,2192.0,5200.0,4400,82,265,10454,255,,12750,270,,3376.0,1051.0,2015-05-18 00:00:00
59,1750.0,2192.0,5200.0,4400,81,263,10315,250,,12750,272,,2594.0,1051.0,2015-05-25 00:00:00
62,1750.0,1772.0,5200.0,4400,82,262,10333,245,,12750,270,,2594.0,1170.0,2015-06-01 00:00:00
64,1950.0,1772.0,5000.0,4250,83,261,10268,239,,13000,272,,2594.0,1170.0,2015-06-08 00:00:00
