date,Импорт цемента ЖД,Экспорт цемента ЖД,Отгрузка цемента хоппер ЖД,Отгрузка цемента остальные ЖД,Производство цемента,Импорт цемента,Экспорт цемента,Потребление цемента,Отгрузка цемента,Цена цемента с НДС,Цена цемента без НДС,Производство бетона РФ,Производство бетона МО,Производство бетона СПБ
1970-01-01 03:00:44,40.75,27.53,987.54,201.76,2.39,52.33,31.49,2.29,1.19,3769.2,4968.1,1.92,223.41,198.59
1970-01-01 03:00:44,69.98,43.42,1071.83,256.73,2.71,79.64,50.16,2.67,1.33,3745.23,4822.46,2.06,293.41,162.18
1970-01-01 03:00:44,105.53,58.23,1495.35,446.95,3.85,125.59,64.99,3.98,1.94,3790.64,5299.51,2.84,424.11,254.89
1970-01-01 03:00:44,125.09,88.93,1754.58,573.13,4.86,182.18,105.97,4.93,2.33,3853.3,5031.96,3.3,492.62,301.09
1970-01-01 03:00:44,124.44,112.45,1859.55,659.93,5.72,193.68,141.09,5.76,2.52,3915.07,5240.72,3.79,562.72,303.96
1970-01-01 03:00:44,125.67,143.62,1998.19,813.52,6.4,217.01,171.18,6.67,2.81,3966.72,5163.41,4.3,580.44,345.53
1970-01-01 03:00:45,122.03,129.4,1889.2,989.3,6.69,232.29,153.85,6.88,2.88,4035.6,5426.48,5.77,1082.76,373.8
1970-01-01 03:00:45,111.63,120.59,1844.53,928.14,6.65,209.98,142.03,6.78,2.77,4097.58,5323.64,5.94,1115.72,380.01
1970-01-01 03:00:45,97.01,112.51,1689.87,789.15,6.19,178.66,132.24,6.39,2.48,4172.67,5397.43,5.97,1090.62,361.17
1970-01-01 03:00:45,105.82,102.74,1778.07,600.26,6.01,201.86,119.82,6.04,2.38,4231.15,5480.04,5.61,1085.41,334.51
1970-01-01 03:00:45,103.24,68.55,1645.57,351.01,4.89,162.41,77.51,4.86,2.0,4273.63,5303.55,4.17,916.08,318.99
1970-01-01 03:00:45,73.91,68.36,1280.21,273.71,3.71,121.3,75.5,3.64,1.55,4312.66,5201.73,3.36,515.03,247.05
1970-01-01 03:00:45,59.4,47.21,1024.14,233.72,2.91,87.36,50.98,2.74,1.26,4275.16,5776.56,0.0,591.02,224.06
1970-01-01 03:00:45,76.21,53.49,1217.45,280.0,3.44,111.61,60.55,3.53,1.5,4339.53,5653.47,0.0,839.03,213.36
1970-01-01 03:00:45,111.77,69.39,1541.38,439.41,4.51,177.9,79.41,4.61,1.98,4468.65,6255.79,0.0,627.77,272.33
1970-01-01 03:00:45,114.26,76.88,1659.5,451.21,5.01,150.2,85.24,5.0,2.11,4668.75,6384.87,0.0,989.94,338.71
1970-01-01 03:00:45,95.65,77.61,1722.14,626.01,5.85,134.15,97.77,5.83,2.35,4803.8,6749.37,0.0,758.85,325.24
1970-01-01 03:00:45,83.88,77.65,1848.19,716.83,6.42,177.13,97.65,6.62,2.57,4934.75,6798.66,0.01,1233.33,349.82
1970-01-01 03:00:45,120.9,84.71,1954.19,825.29,6.79,206.35,104.68,6.91,2.78,5013.97,6939.11,0.01,1348.07,368.66
1970-01-01 03:00:45,144.65,75.65,1870.63,806.01,6.67,268.47,94.21,6.94,2.68,5100.41,6993.72,0.01,1367.75,383.55
1970-01-01 03:00:45,182.08,62.58,1838.54,716.65,6.2,280.41,81.05,6.45,2.56,5174.27,6874.88,0.01,1257.65,363.73
1970-01-01 03:00:45,179.95,64.6,1731.31,535.57,5.71,254.5,84.99,5.6,2.27,5157.75,6645.47,0.01,1296.38,349.77
1970-01-01 03:00:45,127.56,56.71,1395.32,323.14,4.1,194.06,62.1,4.14,1.72,5146.97,6687.32,0.0,946.81,281.47
1970-01-01 03:00:45,97.5,37.98,1159.52,202.35,3.17,159.66,42.14,3.34,1.36,5111.16,6676.36,0.0,845.99,235.06
1970-01-01 03:00:45,75.14,40.43,970.14,193.23,2.61,115.65,43.12,2.51,1.16,5098.63,6791.82,0.0,608.74,181.17
