dt,lme_price
2021-02-12 00:00:00,607
2021-02-15 00:00:00,614
2021-02-16 00:00:00,615
2021-02-17 00:00:00,606
2021-02-18 00:00:00,604
2021-02-19 00:00:00,604
2021-02-22 00:00:00,602.5
2021-02-23 00:00:00,610
2021-02-24 00:00:00,609
2021-02-25 00:00:00,607.5
2021-02-26 00:00:00,605.43
2021-03-01 00:00:00,656.5
2021-03-02 00:00:00,652
2021-03-03 00:00:00,650
2021-03-04 00:00:00,648
2021-03-05 00:00:00,643.5
2021-03-08 00:00:00,641
2021-03-09 00:00:00,638
2021-03-10 00:00:00,630.5
2021-03-11 00:00:00,630.5
2021-03-12 00:00:00,629
2021-03-15 00:00:00,634
2021-03-16 00:00:00,632
2021-03-17 00:00:00,627.5
2021-03-18 00:00:00,628.5
2021-03-19 00:00:00,624.5
2021-03-22 00:00:00,622
2021-03-23 00:00:00,626.5
2021-03-24 00:00:00,626.5
2021-03-25 00:00:00,626
2021-03-26 00:00:00,631
2021-03-29 00:00:00,633
2021-03-30 00:00:00,632
2021-03-31 00:00:00,628.22
2021-04-01 00:00:00,643
2021-04-06 00:00:00,650
2021-04-07 00:00:00,641
2021-04-08 00:00:00,636
2021-04-09 00:00:00,639.5
2021-04-12 00:00:00,636
2021-04-13 00:00:00,635
2021-04-14 00:00:00,639
2021-04-15 00:00:00,636.5
2021-04-16 00:00:00,641
2021-04-19 00:00:00,637.5
2021-04-20 00:00:00,637.5
2021-04-21 00:00:00,637.5
2021-04-22 00:00:00,638
2021-04-23 00:00:00,637.5
2021-04-26 00:00:00,639.5
2021-04-27 00:00:00,641
2021-04-28 00:00:00,640
2021-04-29 00:00:00,642.5
2021-04-30 00:00:00,639.28
2021-05-04 00:00:00,696.5
2021-05-05 00:00:00,710
2021-05-06 00:00:00,730
2021-05-07 00:00:00,710
2021-05-10 00:00:00,750
2021-05-11 00:00:00,750
2021-05-12 00:00:00,794
2021-05-13 00:00:00,780.5
2021-05-14 00:00:00,775
2021-05-17 00:00:00,769.5
2021-05-18 00:00:00,771.5
2021-05-19 00:00:00,756
2021-05-20 00:00:00,752
2021-05-21 00:00:00,742
2021-05-24 00:00:00,748.5
