date,Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство арматуры Сортовой прокат_Прутки прочие,Производство сырья ЖРС_Агломерат,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Концентрат для дообогащения,Производство сырья ЖРС_Окатыши,Производство сырья Кокс_Кокс валовый,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Коксовые,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Металлизованная продукция_ПВЖ,Производство сырья Рядовой коксующийся уголь_Газовые,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Коксовые,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Мартен,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,Производство сырья Чугун_Чугун,ПотреблениеЖРС_Концентрат,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Концентрат для дообогащения,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Сортовой прокат_Прутки прочие,Поставки Концентрат коксующегося угля_Жирные,Поставки Концентрат коксующегося угля_Коксовые,Поставки Концентрат коксующегося угля_Отощающие,Поставки Кокс_Кокс доменный,Поставки Чугун_Литейный чугун,Поставки Чугун_Передельный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Концентрат,Поставки ЖРС_Концентрат для дообогащения,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Концентрат,Спрос ЖРС_Концентрат для дообогащения,Спрос ЖРС_Окатыши,Спрос Металлизованная продукция_ГБЖ,Спрос Кокс_Кокс доменный,Спрос Концентрат коксующегося угля_Жирные,Спрос Концентрат коксующегося угля_Коксовые,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Концентрат,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Жирные,Импорт сырья Концентрат коксующегося угля_Коксовые,Импорт арматуры Сортовой прокат_Арматура,Импорт арматуры Сортовой прокат_Катанка,Импорт арматуры Сортовой прокат_Прутки прочие,Экспорт сырья ЖРС_Агломерат,Экспорт сырья ЖРС_Аглоруда,Экспорт сырья ЖРС_Концентрат,Экспорт сырья ЖРС_Окатыши,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Кокс_Мелочь коксовая,Экспорт сырья Кокс_Орешек коксовый,Экспорт сырья Концентрат коксующегося угля_Жирные,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Концентрат коксующегося угля_Отощающие,Экспорт сырья Лом_Лом коррозионностойкой стали,Экспорт сырья Лом_Лом стальной,Экспорт сырья Лом_Лом чугуна,Экспорт сырья Металлизованная продукция_Всего отгружено с предприятия,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Всего отгружено с предприятия,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,Экспорт арматуры Сортовой прокат_Прутки прочие
1970-01-01 03:00:42,527,208,191,"5,127",376,"9,063",631,"3,691","2,307","2,448","2,000",272,243,266,342,"3,886","1,815",931,"3,803",102,"5,543","1,636","4,250","3,666",383,"2,141",593,301,430,141,142,"1,569","1,635",49,407,2,45,384,301,"3,217",594,"2,006",384,301,"3,667",594,"2,142",39,416,"1,689","1,454",49,450,136,0,16,,,,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,97,68,50
1970-01-01 03:00:42,563,231,216,"4,776",343,"8,850",608,"3,450","2,297","2,314","2,078",279,229,248,347,"3,759","1,887","1,176","3,653",78,"5,527","1,795","4,227","3,763",371,"2,226",599,323,447,151,160,"1,577","1,616",33,451,1,42,371,323,"3,313",599,"2,032",371,323,"3,763",599,"2,226",23,465,"1,688","1,467",33,450,194,0,23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,79,55
1970-01-01 03:00:43,614,263,235,"5,107",420,"9,013",626,"3,849","2,481","2,720","2,326",301,243,266,394,"3,948","1,983","1,296","3,974",36,"5,954","1,942","4,626","3,784",371,"2,332",714,370,493,165,163,"1,581","1,714",54,419,2,48,371,369,"3,336",714,"2,152",371,369,"3,786",714,"2,330",24,430,"1,815","1,480",54,450,178,0,33,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,100,71
1970-01-01 03:00:43,659,242,237,"4,809",400,"9,275",613,"3,688","2,372","2,343","2,306",295,234,259,357,"3,412","1,851","1,319","3,867",104,"5,929","1,960","4,253","3,506",336,"2,336",710,384,530,164,176,"1,428","1,703",72,488,4,42,337,386,"3,140",709,"2,195",337,386,"3,508",709,"2,335",35,495,"1,620","1,511",72,368,140,19,38,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,78,61
1970-01-01 03:00:43,703,249,238,"5,147",420,"9,587",518,"4,032","2,255","2,407","2,363",317,240,269,403,"3,722","1,951","1,345","3,871",141,"6,040","2,029","4,369","3,592",439,"2,566",590,381,562,159,190,"1,431","1,644",49,526,2,47,439,382,"3,216",590,"2,358",439,382,"3,595",590,"2,564",41,534,"1,591","1,484",49,379,206,0,51,,,,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,90,48
1970-01-01 03:00:43,671,257,245,"4,819",436,"9,130",596,"3,874","2,289","2,350","2,289",294,232,257,378,"3,557","1,753","1,069","3,655",142,"5,770","1,973","4,195","3,511",415,"2,496",578,411,583,165,173,"1,482","1,619",57,437,2,28,416,413,"3,174",578,"2,289",416,413,"3,510",578,"2,493",38,445,"1,643","1,458",57,336,204,0,70,,,,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,91,71
1970-01-01 03:00:43,642,243,305,"5,221",399,"8,874",650,"3,765","2,415","2,512","2,262",298,160,216,369,"3,594","2,027","1,206","4,061",121,"6,091","1,909","4,477","3,729",452,"2,359",652,398,553,175,195,"1,528","1,595",66,477,2,55,452,398,"3,292",651,"2,161",452,398,"3,728",651,"2,358",21,488,"1,686","1,430",66,436,197,0,37,,,,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,68,113
1970-01-01 03:00:43,646,230,265,"5,186",377,"9,220",593,"4,062","2,497","2,561","2,354",327,203,226,396,"3,411","2,074","1,465","3,797",131,"5,856","1,930","4,366","3,773",430,"2,388",508,363,546,168,201,"1,447","1,621",49,497,4,32,432,364,"3,428",508,"2,201",432,364,"3,775",508,"2,387",22,509,"1,605","1,463",49,347,186,0,34,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,62,64
1970-01-01 03:00:43,641,251,245,"4,933",348,"9,141",582,"3,889","2,386","2,602","2,423",290,235,254,368,"3,744","2,232","1,309","3,704",108,"5,690","1,878","4,024","3,530",351,"2,148",659,348,526,168,183,"1,522","1,610",43,409,1,36,352,349,"3,241",658,"1,960",352,349,"3,529",658,"2,146",42,420,"1,699","1,433",43,288,186,0,68,,,,0,0,19,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,83,61
1970-01-01 03:00:43,669,245,240,"4,856",323,"9,198",617,"3,980","2,333","2,728","2,630",288,261,261,338,"3,582","2,343","1,565","3,792",149,"5,949","2,008","4,227","3,631",378,"2,359",585,334,570,172,187,"1,619","1,684",55,445,3,101,379,333,"3,296",585,"2,268",379,333,"3,631",585,"2,359",26,459,"1,786","1,517",55,335,91,0,34,,,,0,0,9,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,73,56
